obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,action,q_value
0.007777690887451172,1.418221354484558,0.7877784967422485,0.32447704672813416,-0.0090055912733078,-0.1784438043832779,0.0,0.0,1.0,57.51359019031944
0.015474319458007812,1.4249391555786133,0.7765081524848938,0.29851534962654114,-0.015777412801980972,-0.13544777035713196,0.0,0.0,1.0,57.46600060237657
0.02308177947998047,1.43107271194458,0.7653036117553711,0.2725379168987274,-0.020290452986955643,-0.09026908874511719,0.0,0.0,1.0,57.18996245765546
0.030617808923125267,1.4366077184677124,0.7563547492027283,0.24596327543258667,-0.023006239905953407,-0.05432059243321419,0.0,0.0,1.0,56.92427529025733
0.03808774799108505,1.4415369033813477,0.7480486035346985,0.2190583348274231,-0.024057434871792793,-0.021025897935032845,0.0,0.0,1.0,56.54751178641907
0.045471955090761185,1.4458695650100708,0.7373024821281433,0.1925763636827469,-0.022952279075980186,0.022105302661657333,0.0,0.0,0.0,55.73618054331886
0.05285606533288956,1.4496021270751953,0.7372980713844299,0.16590802371501923,-0.02184785157442093,0.022090338170528412,0.0,0.0,1.0,55.953048536661726
0.06017589569091797,1.452736496925354,0.7292361259460449,0.13934537768363953,-0.019126782193779945,0.0544264130294323,0.0,0.0,1.0,55.274987118360514
0.06740780174732208,1.4552849531173706,0.7182037830352783,0.11332254111766815,-0.014192312955856323,0.09869833290576935,0.0,0.0,1.0,54.104793324110446
0.07455940544605255,1.4572367668151855,0.7081215977668762,0.08679831027984619,-0.007240683306008577,0.13904531300067902,0.0,0.0,1.0,52.83092926459865
0.08164014667272568,1.4585787057876587,0.6992408037185669,0.05965454876422882,0.001483918633311987,0.1745084822177887,0.0,0.0,1.0,51.81119088430352
0.08864660561084747,1.459321141242981,0.6899493336677551,0.032961927354335785,0.012064081616699696,0.21162226796150208,0.0,0.0,1.0,52.434020641104496
0.09557189792394638,1.4594544172286987,0.6797813773155212,0.005773377604782581,0.024676240980625153,0.25226643681526184,0.0,0.0,1.0,53.22134436217692
0.10243549197912216,1.4589874744415283,0.6720479726791382,-0.021051587536931038,0.03882918879389763,0.28308460116386414,0.0,0.0,1.0,54.46836640731238
0.1092018112540245,1.4579088687896729,0.6598697304725647,-0.04845954477787018,0.055421099066734314,0.3318682014942169,0.0,0.0,1.0,55.581674274466685
0.11588563770055771,1.456231951713562,0.6495562195777893,-0.07533583790063858,0.07406739145517349,0.37296003103256226,0.0,0.0,1.0,57.15852500987141
0.12248077243566513,1.4539508819580078,0.6384822726249695,-0.10256122797727585,0.0949278324842453,0.4172467291355133,0.0,0.0,0.0,58.96640619231487
